"","Time","Well","OD600","Colony","Dose"
"433",255,"V6",0.121666666666667,"G","Wtsham"
"434",270,"V6",0.13675,"G","Wtsham"
"435",285,"V6",0.153333333333333,"G","Wtsham"
"436",300,"V6",0.1725,"G","Wtsham"
"437",315,"V6",0.190083333333333,"G","Wtsham"
"438",330,"V6",0.214333333333333,"G","Wtsham"
"439",345,"V6",0.228083333333333,"G","Wtsham"
"440",360,"V6",0.24575,"G","Wtsham"
"441",375,"V6",0.259333333333333,"G","Wtsham"
"442",390,"V6",0.273416666666667,"G","Wtsham"
"443",405,"V6",0.295416666666667,"G","Wtsham"
"444",420,"V6",0.31475,"G","Wtsham"
"445",435,"V6",0.332916666666667,"G","Wtsham"
"446",450,"V6",0.352166666666667,"G","Wtsham"
"447",465,"V6",0.368333333333333,"G","Wtsham"
"448",480,"V6",0.385416666666667,"G","Wtsham"
"449",495,"V6",0.396083333333333,"G","Wtsham"
"450",510,"V6",0.418583333333333,"G","Wtsham"
"451",525,"V6",0.438,"G","Wtsham"
"452",540,"V6",0.45325,"G","Wtsham"
"453",555,"V6",0.479666666666667,"G","Wtsham"
"454",570,"V6",0.491333333333333,"G","Wtsham"
"455",585,"V6",0.51225,"G","Wtsham"
"456",600,"V6",0.536833333333333,"G","Wtsham"
"457",615,"V6",0.552583333333333,"G","Wtsham"
"458",630,"V6",0.573833333333333,"G","Wtsham"
"459",645,"V6",0.58975,"G","Wtsham"
"460",660,"V6",0.609333333333333,"G","Wtsham"
"461",675,"V6",0.629,"G","Wtsham"
"462",690,"V6",0.64125,"G","Wtsham"
"463",705,"V6",0.660083333333333,"G","Wtsham"
"464",720,"V6",0.673166666666667,"G","Wtsham"
"465",735,"V6",0.684,"G","Wtsham"
"466",750,"V6",0.702333333333333,"G","Wtsham"
"467",765,"V6",0.712916666666667,"G","Wtsham"
"468",780,"V6",0.722416666666667,"G","Wtsham"
"469",795,"V6",0.725083333333333,"G","Wtsham"
"470",810,"V6",0.741916666666667,"G","Wtsham"
"471",825,"V6",0.746583333333333,"G","Wtsham"
"472",840,"V6",0.75875,"G","Wtsham"
"473",855,"V6",0.766083333333333,"G","Wtsham"
"474",870,"V6",0.772583333333333,"G","Wtsham"
"475",885,"V6",0.7875,"G","Wtsham"
"476",900,"V6",0.7915,"G","Wtsham"
"477",915,"V6",0.796916666666667,"G","Wtsham"
"478",930,"V6",0.805583333333333,"G","Wtsham"
"479",945,"V6",0.809166666666667,"G","Wtsham"
"480",960,"V6",0.822916666666667,"G","Wtsham"
"481",975,"V6",0.816166666666667,"G","Wtsham"
"482",990,"V6",0.832583333333333,"G","Wtsham"
"483",1005,"V6",0.832583333333333,"G","Wtsham"
"484",1020,"V6",0.841333333333333,"G","Wtsham"
"485",1035,"V6",0.840416666666667,"G","Wtsham"
"486",1050,"V6",0.849333333333333,"G","Wtsham"
"487",1065,"V6",0.852333333333333,"G","Wtsham"
"488",1080,"V6",0.8525,"G","Wtsham"
"489",1095,"V6",0.854916666666667,"G","Wtsham"
"490",1110,"V6",0.867333333333333,"G","Wtsham"
"491",1125,"V6",0.87175,"G","Wtsham"
"492",1140,"V6",0.875666666666667,"G","Wtsham"
"493",1155,"V6",0.8815,"G","Wtsham"
"494",1170,"V6",0.883166666666667,"G","Wtsham"
"495",1185,"V6",0.888666666666667,"G","Wtsham"
"496",1200,"V6",0.8895,"G","Wtsham"
"497",1215,"V6",0.893083333333333,"G","Wtsham"
"498",1230,"V6",0.897166666666667,"G","Wtsham"
"499",0,"V7",0.0399166666666667,"A","WT10kGy"
"500",15,"V7",0.0379166666666667,"A","WT10kGy"
"501",30,"V7",0.0385,"A","WT10kGy"
"502",45,"V7",0.0375,"A","WT10kGy"
